Raw Data File,cells,tracer molecule,labelled positions,abundance,Parameter Value[injection],Parameter Value[Replicate],Factor Value[Incubation time],Metabolite name,CHEBI identifier,atomic positions to the parent molecule/metabolite name,Empirical formula derivatized molecule/fragment,retention(min),m/z monitored,signal intensity,isotopologue,isotologue abundance relative concentration
NA,MCF-7 human breast carcinoma cells,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Phosphoglycerate,CHEBI:57998,C1-C3,NA,1,1,1,3pg_13C0,52.7238507
NA,MCF-7 human breast carcinoma cells,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Phosphoglycerate,CHEBI:57998,C1-C3,NA,1,1,1,3pg_13C1,46.6865572
NA,MCF-7 human breast carcinoma cells,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Phosphoglycerate,CHEBI:57998,C1-C3,NA,1,1,1,3pg_13C2,0.5895922
NA,MCF-7 human breast carcinoma cells,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Phosphoglycerate,CHEBI:57998,C1-C3,NA,1,1,1,3pg_13C3,0
NA,MCF-7 human breast carcinoma cells,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Alanine,CHEBI:16977,C2-C3,NA,1,1,1,ala_13C0,55.324819
NA,MCF-7 human breast carcinoma cells,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Alanine,CHEBI:16977,C2-C3,NA,1,1,1,ala_13C1,44.0392556
NA,MCF-7 human breast carcinoma cells,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Alanine,CHEBI:16977,C2-C3,NA,1,1,1,ala_13C2,0.6359254
NA,MCF-7 human breast carcinoma cells,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Alanine,CHEBI:16977,C1-C3,NA,1,1,1,ala_13C0,54.6654358
NA,MCF-7 human breast carcinoma cells,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Alanine,CHEBI:16977,C1-C3,NA,1,1,1,ala_13C1,44.2512026
NA,MCF-7 human breast carcinoma cells,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Alanine,CHEBI:16977,C1-C3,NA,1,1,1,ala_13C2,1.0764263
NA,MCF-7 human breast carcinoma cells,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Alanine,CHEBI:16977,C1-C3,NA,1,1,1,ala_13C3,0.00694
NA,MCF-7 human breast carcinoma cells,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Aspartate,CHEBI:29991,C1-C4,NA,1,1,1,asp_13C0,79.2047788
NA,MCF-7 human breast carcinoma cells,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Aspartate,CHEBI:29991,C1-C4,NA,1,1,1,asp_13C1,18.598537
NA,MCF-7 human breast carcinoma cells,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Aspartate,CHEBI:29991,C1-C4,NA,1,1,1,asp_13C2,1.9451134
NA,MCF-7 human breast carcinoma cells,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Aspartate,CHEBI:29991,C1-C4,NA,1,1,1,asp_13C3,0.2515708
NA,MCF-7 human breast carcinoma cells,[1-13C]-Glucose,"1,0,0,0,0,0",99,1,1,24,Aspartate,CHEBI:29991,C1-C4,NA,1,1,1,asp_13C4,0
NA,MCF-7 human breast carcinoma cells,[U-13C]-Glutamine,"1,1,1,1,1",99,1,1,24,Alanine,CHEBI:16977,C2-C3,NA,1,1,1,ala_13C0,96.7758171
NA,MCF-7 human breast carcinoma cells,[U-13C]-Glutamine,"1,1,1,1,1",99,1,1,24,Alanine,CHEBI:16977,C2-C3,NA,1,1,1,ala_13C1,2.5784466
NA,MCF-7 human breast carcinoma cells,[U-13C]-Glutamine,"1,1,1,1,1",99,1,1,24,Alanine,CHEBI:16977,C2-C3,NA,1,1,1,ala_13C2,0.6457364
NA,MCF-7 human breast carcinoma cells,[U-13C]-Glutamine,"1,1,1,1,1",99,1,1,24,Alanine,CHEBI:16977,C1-C3,NA,1,1,1,ala_13C0,95.847975
NA,MCF-7 human breast carcinoma cells,[U-13C]-Glutamine,"1,1,1,1,1",99,1,1,24,Alanine,CHEBI:16977,C1-C3,NA,1,1,1,ala_13C1,3.3594743
NA,MCF-7 human breast carcinoma cells,[U-13C]-Glutamine,"1,1,1,1,1",99,1,1,24,Alanine,CHEBI:16977,C1-C3,NA,1,1,1,ala_13C2,0.3141121
NA,MCF-7 human breast carcinoma cells,[U-13C]-Glutamine,"1,1,1,1,1",99,1,1,24,Alanine,CHEBI:16977,C1-C3,NA,1,1,1,ala_13C3,0.4784386
NA,MCF-7 human breast carcinoma cells,[U-13C]-Glutamine,"1,1,1,1,1",99,1,1,24,Pyruvate,CHEBI:15361,C1-C3,NA,1,1,1,pyr_13C0,95.8096308
NA,MCF-7 human breast carcinoma cells,[U-13C]-Glutamine,"1,1,1,1,1",99,1,1,24,Pyruvate,CHEBI:15361,C1-C3,NA,1,1,1,pyr_13C1,3.2039686
NA,MCF-7 human breast carcinoma cells,[U-13C]-Glutamine,"1,1,1,1,1",99,1,1,24,Pyruvate,CHEBI:15361,C1-C3,NA,1,1,1,pyr_13C2,0.4316031
NA,MCF-7 human breast carcinoma cells,[U-13C]-Glutamine,"1,1,1,1,1",99,1,1,24,Pyruvate,CHEBI:15361,C1-C3,NA,1,1,1,pyr_13C3,0.5547975
