Raw Data File,cells,tracer molecule,labelled positions,abundance,Parameter Value[injection],Parameter Value[Replicate],Factor Value[Incubation time],Metabolite name,CHEBI identifier,atomic positions to the parent molecule/metabolite name,Empirical formula derivatized molecule/fragment,retention(min),m/z monitored,signal intensity,isotopologue,isotologue abundance relative concentration
NA,E coli K12 MG1655,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",49.2/49.8,1,1,10,Alanine,CHEBI:16977,C1-C3,NA,1,1,1,ala_13C0,21.7
NA,E coli K12 MG1655,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",49.2/49.8,1,1,10,Alanine,CHEBI:16977,C1-C3,NA,1,1,1,ala_13C1,22.5
NA,E coli K12 MG1655,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",49.2/49.8,1,1,10,Alanine,CHEBI:16977,C1-C3,NA,1,1,1,ala_13C2,17.3
NA,E coli K12 MG1655,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",49.2/49.8,1,1,10,Alanine,CHEBI:16977,C1-C3,NA,1,1,1,ala_13C3,38.5
NA,E coli K12 MG1655,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",49.2/49.8,1,1,10,Alanine,CHEBI:16977,C2-C3,NA,1,1,1,ala_13C0,25.2
NA,E coli K12 MG1655,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",49.2/49.8,1,1,10,Alanine,CHEBI:16977,C2-C3,NA,1,1,1,ala_13C1,27
NA,E coli K12 MG1655,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",49.2/49.8,1,1,10,Alanine,CHEBI:16977,C2-C3,NA,1,1,1,ala_13C2,47.8
NA,E coli K12 MG1655,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",49.2/49.8,1,1,10,Aspartate,CHEBI:29991,C1-C4,NA,1,1,1,asp_13C0,7.2
NA,E coli K12 MG1655,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",49.2/49.8,1,1,10,Aspartate,CHEBI:29991,C1-C4,NA,1,1,1,asp_13C1,18.2
NA,E coli K12 MG1655,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",49.2/49.8,1,1,10,Aspartate,CHEBI:29991,C1-C4,NA,1,1,1,asp_13C2,25.2
NA,E coli K12 MG1655,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",49.2/49.8,1,1,10,Aspartate,CHEBI:29991,C1-C4,NA,1,1,1,asp_13C3,28.4
NA,E coli K12 MG1655,[1-13C]-Glucose/[U-13C]-Glucose,"1,0,0,0,0,0/1,1,1,1,1,1",49.2/49.8,1,1,10,Aspartate,CHEBI:29991,C1-C4,NA,1,1,1,asp_13C4,21
