Raw Data File,cells,tracer molecule,labelled positions,abundance,Parameter Value[injection],Parameter Value[Replicate],Factor Value[Incubation time],Metabolite name,CHEBI identifier,atomic positions to the parent molecule/metabolite name,Empirical formula derivatized molecule/fragment,retention(min),m/z monitored,signal intensity,isotopologue,isotologue abundance relative concentration
NA,A549 cell,"[1,2-13C]-Glucose","1,1,0,0,0,0",50,1,1,1,Malate,CHEBI:25115 ,C1-C4,NA,1,1,1,mal_13C0,88.2
NA,A549 cell,"[1,2-13C]-Glucose","1,1,0,0,0,0",50,1,1,1,Malate,CHEBI:25115 ,C1-C4,NA,1,1,1,mal_13C1,2.6
NA,A549 cell,"[1,2-13C]-Glucose","1,1,0,0,0,0",50,1,1,1,Malate,CHEBI:25115 ,C1-C4,NA,1,1,1,mal_13C2,7.8
NA,A549 cell,"[1,2-13C]-Glucose","1,1,0,0,0,0",50,1,1,1,Malate,CHEBI:25115 ,C1-C4,NA,1,1,1,mal_13C3,0.4
NA,A549 cell,"[1,2-13C]-Glucose","1,1,0,0,0,0",50,1,1,1,Malate,CHEBI:25115 ,C1-C4,NA,1,1,1,mal_13C4,1.7
NA,A549 cell,"[1,2-13C]-Glucose","1,1,0,0,0,0",50,1,1,1,N-acetylaspartate,CHEBI:21547,C1-C4,NA,1,1,1,naa_13C0,91.7
NA,A549 cell,"[1,2-13C]-Glucose","1,1,0,0,0,0",50,1,1,1,N-acetylaspartate,CHEBI:21547,C1-C4,NA,1,1,1,naa_13C1,4
NA,A549 cell,"[1,2-13C]-Glucose","1,1,0,0,0,0",50,1,1,1,N-acetylaspartate,CHEBI:21547,C1-C4,NA,1,1,1,naa_13C2,5.1
NA,A549 cell,"[1,2-13C]-Glucose","1,1,0,0,0,0",50,1,1,1,N-acetylaspartate,CHEBI:21547,C1-C4,NA,1,1,1,naa_13C3,0
NA,A549 cell,"[1,2-13C]-Glucose","1,1,0,0,0,0",50,1,1,1,N-acetylaspartate,CHEBI:21547,C1-C4,NA,1,1,1,naa_13C4,0
NA,A549 cell,"[1,2-13C]-Glucose","1,1,0,0,0,0",50,1,1,1,Citrate,CHEBI:16947,C1-C6,NA,1,1,1,cit_13C0,74.8
NA,A549 cell,"[1,2-13C]-Glucose","1,1,0,0,0,0",50,1,1,1,Citrate,CHEBI:16947,C1-C6,NA,1,1,1,cit_13C1,3.9
NA,A549 cell,"[1,2-13C]-Glucose","1,1,0,0,0,0",50,1,1,1,Citrate,CHEBI:16947,C1-C6,NA,1,1,1,cit_13C2,19.2
NA,A549 cell,"[1,2-13C]-Glucose","1,1,0,0,0,0",50,1,1,1,Citrate,CHEBI:16947,C1-C6,NA,1,1,1,cit_13C3,1
NA,A549 cell,"[1,2-13C]-Glucose","1,1,0,0,0,0",50,1,1,1,Citrate,CHEBI:16947,C1-C6,NA,1,1,1,cit_13C4,1.4
NA,A549 cell,"[1,2-13C]-Glucose","1,1,0,0,0,0",50,1,1,1,Citrate,CHEBI:16947,C1-C6,NA,1,1,1,cit_13C5,0
